RegionID,SizeRank,RegionName,RegionType,StateName,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30
102001,0,United States,Country,"",194333.0,195878.0,197545.0,199212.0,200000.0,196333.0,192967.0,188300.0,186633.0,182333.0,178967.0,175545.0,174045.0,174745.0,177667.0,181167.0,182700.0,180183.0,177517.0,174839.0,175519.0,175519.0,174330.0,173333.0,171667.0,173333.0,175000.0,180000.0,183333.0,183333.0,180000.0,176667.0,176067.0,174400.0,172067.0,168300.0,167600.0,168600.0,172283.0,174683.0,175950.0,173267.0,169933.0,167209.0,166575.0,164876.0,162667.0,161667.0,165057.0,170557.0,177223.0,181833.0,183833.0,181733.0,179067.0,178233.0,179667.0,179333.0,177667.0,177300.0,180633.0,187050.0,193750.0,200417.0,202333.0,200000.0,196667.0,194000.0,195010.0,193343.0,192010.0,190333.0,192333.0,196833.0,202500.0,206960.0,209460.0,206430.0,203303.0,201136.0,202833.0,202500.0,201633.0,201300.0,204967.0,210167.0,215500.0,218833.0,219333.0,217000.0,213667.0,212667.0,214333.0,214000.0,211667.0,209858.0,213025.0,218692.0,224167.0,227333.0,228300.0,226633.0,225550.0,224917.0,225883.0,224648.0,223315.0,222682.0,225667.0,230333.0,236498.0,239832.0,241498.0,239000.0,237333.0,236323.0,237323.0,237323.0,237500.0,238333.0,241667.0,245500.0,249667.0,251333.0,251333.0,248000.0,245667.0,244467.0,245467.0,245467.0,244667.0,245333.0,249000.0,254667.0,259667.0,263000.0,263300.0,261300.0,259933.0,259633.0,261633.0,260667.0,261000.0,262333.0,266333.0,267667.0,269333.0,274333.0,281113.0,286113.0,288113.0,290217.0,290550.0,288884.0,288333.0,292667.0,302667.0
394913,1,"New York, NY",Msa,NY,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",347667.0,350243.0,355243.0,364909.0,373000.0,378000.0,376667.0,370833.0,365833.0,359167.0,355000.0,350000.0,348333.0,345000.0,350333.0,360028.0,374194.0,385528.0,385833.0,381667.0,370000.0,363333.0,363333.0,364167.0,362500.0,357000.0,359000.0,367333.0,379500.0,389667.0,389333.0,382667.0,373000.0,369667.0,371369.0,371369.0,370036.0,368217.0,371217.0,381167.0,389617.0,396617.0,395000.0,388333.0,380000.0,375242.0,375242.0,376908.0,375333.0,375333.0,375333.0,384967.0,394967.0,404967.0,403333.0,398333.0,391333.0,387583.0,385917.0,386250.0,386667.0,389741.0,393741.0,405241.0,417500.0,425167.0,423667.0,411667.0,403333.0,398333.0,400000.0,400000.0,398333.0,398333.0,401667.0,411667.0,422233.0,429033.0,427700.0,419000.0,412200.0,406867.0,407333.0,407333.0,405667.0,406452.0,408119.0,419785.0,430000.0,435000.0,431667.0,424667.0,421333.0,419333.0,420667.0,422333.0,422667.0,426650.0,429150.0,439150.0,443833.0,452333.0,455667.0,462667.0,468500.0,471833.0,471833.0,471667.0,474667.0,484667.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,503333.0,496333.0,491333.0,483000.0,470000.0,455000.0,443333.0,433333.0,427333.0,412500.0,408500.0,401167.0,401000.0,403333.0,411000.0,419333.0,418333.0,417333.0,413333.0,411000.0,404333.0,400000.0,393333.0,393333.0,393333.0,402333.0,402333.0,406000.0,402000.0,403667.0,398333.0,396667.0,391667.0,386667.0,380250.0,380583.0,385583.0,391333.0,394333.0,396000.0,391667.0,387333.0,377333.0,372333.0,363333.0,358000.0,354833.0,359500.0,371500.0,381333.0,388333.0,392333.0,395667.0,397000.0,398000.0,399667.0,406333.0,406333.0,408000.0,414000.0,435667.0,458167.0,474167.0,477833.0,479167.0,475833.0,474833.0,475167.0,480167.0,479167.0,481833.0,484833.0,494833.0,504667.0,510833.0,517500.0,520000.0,519167.0,515833.0,511667.0,509333.0,506000.0,509333.0,515000.0,526333.0,531333.0,538000.0,539000.0,540667.0,535667.0,533333.0,533333.0,538667.0,541667.0,541667.0,543000.0,551667.0,564833.0,574833.0,576500.0,575000.0,571667.0,572833.0,572833.0,573500.0,572333.0,571083.0,578250.0,589917.0,603500.0,610667.0,615667.0,618000.0,619667.0,616333.0,616667.0,616542.0,613208.0,616542.0,622333.0,635000.0,643333.0,651000.0,655000.0,654667.0,649667.0,646333.0,644667.0,639667.0,633000.0,628333.0,633333.0,644667.0,649667.0,654667.0,661667.0,664333.0,664333.0,658000.0,658250.0,660917.0,663917.0,666000.0,673000.0,676333.0,674667.0,675000.0,688333.0,711667.0,728333.0,736667.0,737333.0,734000.0,729000.0,735000.0,750000.0,776667.0
394463,3,"Chicago, IL",Msa,IL,250500.0,251833.0,255167.0,259167.0,261167.0,257333.0,249500.0,240167.0,234500.0,229500.0,224500.0,221333.0,221333.0,224333.0,227333.0,230000.0,231333.0,227667.0,220500.0,212500.0,209167.0,208667.0,206667.0,208167.0,208500.0,213167.0,216000.0,218500.0,222833.0,217467.0,213967.0,203300.0,200250.0,195333.0,194333.0,189575.0,188492.0,190458.0,197633.0,202467.0,203917.0,195583.0,185667.0,174250.0,169250.0,164333.0,159667.0,161167.0,167833.0,178833.0,190667.0,197333.0,200000.0,193333.0,183000.0,176333.0,171667.0,170333.0,165250.0,165250.0,173583.0,186982.0,203315.0,213315.0,218333.0,212000.0,203667.0,195000.0,191333.0,188667.0,183667.0,183667.0,189000.0,202333.0,215667.0,223000.0,226667.0,220000.0,211667.0,201667.0,196667.0,192833.0,190167.0,194333.0,204167.0,217000.0,225025.0,228358.0,227358.0,221833.0,214833.0,208741.0,204741.0,200241.0,195500.0,197833.0,209167.0,223333.0,231667.0,232500.0,230000.0,223167.0,217500.0,212500.0,211667.0,211000.0,211000.0,215867.0,224867.0,234850.0,241709.0,243375.0,240892.0,233500.0,225833.0,221667.0,221000.0,221000.0,221833.0,225833.0,233167.0,240167.0,245167.0,246167.0,243333.0,237333.0,230667.0,227333.0,225000.0,224500.0,225050.0,228983.0,236150.0,243933.0,249333.0,251000.0,249333.0,243417.0,238417.0,235083.0,234000.0,230750.0,229083.0,235083.0,246843.0,254177.0,255843.0,257333.0,263333.0,266667.0,268333.0,265000.0,263333.0,257667.0,256000.0,259000.0,269000.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,150165.0,153598.0,155767.0,158433.0,159179.0,155646.0,152272.0,147926.0,146126.0,141500.0,140667.0,141000.0,144000.0,148000.0,153000.0,157333.0,158000.0,154667.0,150833.0,147234.0,145567.0,142301.0,142233.0,143867.0,149117.0,151783.0,154617.0,156800.0,159633.0,157667.0,153992.0,150158.0,150992.0,150333.0,149650.0,146317.0,146764.0,149114.0,153114.0,156975.0,157975.0,156308.0,153167.0,149665.0,150665.0,149165.0,150000.0,150998.0,155998.0,161332.0,165400.0,168378.0,168378.0,166711.0,163733.0,161733.0,162167.0,161600.0,161600.0,162767.0,169667.0,177083.0,182917.0,186583.0,187500.0,185000.0,180833.0,177832.0,177832.0,174998.0,175500.0,177167.0,183167.0,188667.0,194333.0,198667.0,200483.0,196483.0,193150.0,191000.0,194323.0,193990.0,194990.0,196667.0,204667.0,212633.0,219300.0,221633.0,220667.0,215633.0,212282.0,209615.0,211590.0,209942.0,211942.0,215000.0,222667.0,230967.0,238033.0,240867.0,240567.0,236792.0,236292.0,235458.0,237167.0,236500.0,239000.0,242333.0,249543.0,256543.0,261260.0,261717.0,259657.0,254940.0,252937.0,250663.0,253963.0,252633.0,253633.0,255333.0,261667.0,268333.0,273333.0,276000.0,273333.0,266667.0,261400.0,258400.0,260033.0,257600.0,257933.0,259193.0,265843.0,272843.0,277450.0,280167.0,278500.0,274333.0,271667.0,270000.0,271667.0,270333.0,271667.0,273333.0,279667.0,281667.0,285000.0,290000.0,296633.0,299467.0,299800.0,299833.0,300333.0,298000.0,301333.0,308000.0,321020.0
394974,5,"Philadelphia, PA",Msa,PA,220667.0,224833.0,229333.0,237317.0,242283.0,239950.0,232300.0,225666.0,220667.0,217985.0,212985.0,209652.0,208333.0,210333.0,216817.0,222817.0,227483.0,224900.0,218900.0,212233.0,210000.0,209667.0,211000.0,210000.0,212000.0,212333.0,218333.0,225667.0,231917.0,233250.0,227583.0,222000.0,218650.0,215983.0,213617.0,208633.0,207717.0,207750.0,216083.0,223000.0,228000.0,222583.0,215883.0,209883.0,208300.0,205000.0,201667.0,196333.0,198000.0,204023.0,215773.0,225107.0,230083.0,226000.0,219667.0,216333.0,216333.0,215000.0,208333.0,204892.0,205787.0,212454.0,223562.0,233667.0,240333.0,236000.0,228333.0,221667.0,219967.0,217300.0,211278.0,207978.0,209062.0,215083.0,224750.0,233000.0,239667.0,234869.0,228869.0,223869.0,222333.0,219250.0,211314.0,208814.0,210564.0,218500.0,227667.0,234967.0,236633.0,233300.0,228315.0,224982.0,219982.0,214567.0,211900.0,211233.0,215000.0,222667.0,234000.0,242333.0,244000.0,238454.0,233454.0,229454.0,229667.0,226333.0,221333.0,217667.0,222000.0,231000.0,243450.0,249117.0,250783.0,243300.0,236688.0,231688.0,231722.0,228333.0,225667.0,224000.0,229000.0,236333.0,243000.0,248000.0,251667.0,249333.0,243500.0,237717.0,236383.0,235450.0,231233.0,231567.0,235833.0,244917.0,254083.0,261917.0,265833.0,260000.0,253000.0,248333.0,248333.0,247500.0,245667.0,247083.0,256917.0,263750.0,269000.0,271667.0,278333.0,281667.0,280000.0,276667.0,276333.0,274633.0,269633.0,265967.0,269333.0
394692,6,"Houston, TX",Msa,TX,152333.0,154273.0,157106.0,160773.0,161917.0,161000.0,156185.0,149768.0,144018.0,140500.0,139117.0,140950.0,144950.0,151047.0,157047.0,162713.0,165000.0,162608.0,157608.0,153275.0,151333.0,150000.0,149500.0,149833.0,152667.0,154167.0,156500.0,157667.0,159967.0,158633.0,155800.0,153167.0,154500.0,152333.0,151333.0,150215.0,151770.0,153952.0,155737.0,159182.0,161333.0,159667.0,158000.0,155667.0,156939.0,153356.0,150022.0,149613.0,156697.0,164030.0,168833.0,170167.0,169467.0,165883.0,163827.0,164527.0,166777.0,164833.0,162167.0,162990.0,171823.0,180490.0,186333.0,188300.0,188300.0,186300.0,182333.0,180667.0,181167.0,180497.0,180163.0,178113.0,182450.0,186117.0,193000.0,196667.0,203333.0,202967.0,201300.0,197300.0,201000.0,201667.0,201923.0,200257.0,203257.0,209242.0,215117.0,219784.0,220290.0,216082.0,211415.0,206483.0,208483.0,207233.0,207750.0,206583.0,210836.0,216499.0,221666.0,226663.0,227667.0,225000.0,220000.0,218333.0,220000.0,218333.0,217000.0,217843.0,223677.0,228843.0,232000.0,232833.0,231667.0,229333.0,228330.0,227330.0,226330.0,223604.0,223268.0,224268.0,231328.0,237330.0,241330.0,242333.0,241000.0,237395.0,233062.0,231169.0,234074.0,233074.0,232300.0,232667.0,238667.0,244667.0,249000.0,250667.0,251000.0,247334.0,243967.0,242949.0,245614.0,244648.0,245165.0,244167.0,249467.0,249883.0,253883.0,259217.0,264633.0,265363.0,264030.0,264863.0,267967.0,266667.0,269133.0,275263.0,285927.0
395209,7,"Washington, DC",Msa,DC,364804.0,368317.0,374983.0,381667.0,379683.0,366350.0,348000.0,333333.0,328333.0,328000.0,322667.0,317667.0,312667.0,316333.0,322850.0,334517.0,337917.0,334538.0,323205.0,313138.0,310000.0,302578.0,300078.0,297730.0,305486.0,314653.0,323333.0,333825.0,335491.0,337491.0,332830.0,334497.0,334497.0,326667.0,323300.0,319967.0,327120.0,335487.0,343820.0,353000.0,353000.0,349833.0,336000.0,329000.0,325500.0,323000.0,315852.0,315852.0,327337.0,344818.0,357818.0,366381.0,365381.0,357381.0,348692.0,346358.0,348025.0,346633.0,341633.0,343300.0,350833.0,367157.0,380128.0,389294.0,387971.0,378855.0,370522.0,365522.0,368333.0,366667.0,363300.0,359131.0,362497.0,376531.0,387367.0,397333.0,394333.0,384360.0,374490.0,368490.0,375224.0,371760.0,368684.0,366907.0,375240.0,387983.0,392167.0,393800.0,387467.0,382967.0,376325.0,374658.0,373428.0,368510.0,365177.0,361740.0,372972.0,382972.0,394305.0,394667.0,392000.0,384333.0,380000.0,375000.0,379667.0,378457.0,377791.0,372791.0,381633.0,394300.0,405965.0,408914.0,406214.0,397883.0,388967.0,384583.0,389583.0,388917.0,388333.0,388333.0,399167.0,410500.0,417166.0,419333.0,416333.0,409333.0,401333.0,397967.0,401633.0,399933.0,397933.0,397933.0,406656.0,418023.0,423023.0,426000.0,423333.0,415000.0,409967.0,409967.0,417368.0,414035.0,413702.0,418967.0,433333.0,438667.0,438333.0,445667.0,452333.0,456333.0,451542.0,448875.0,447542.0,437333.0,430000.0,433483.0,458483.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,266633.0,265633.0,264633.0,264983.0,264983.0,258263.0,249580.0,237247.0,231967.0,219967.0,210633.0,198467.0,190833.0,185833.0,187317.0,193983.0,195650.0,192533.0,185867.0,181867.0,179333.0,175000.0,169000.0,164000.0,160333.0,163667.0,166000.0,170667.0,170000.0,167500.0,165833.0,163167.0,161667.0,156667.0,153333.0,146667.0,146667.0,150000.0,156667.0,159750.0,158500.0,155167.0,151750.0,149667.0,150500.0,149167.0,148500.0,146000.0,148650.0,152650.0,160983.0,166667.0,170000.0,170000.0,168667.0,169333.0,171000.0,172333.0,171333.0,171333.0,176333.0,185300.0,195300.0,203633.0,210000.0,210000.0,206667.0,205000.0,206667.0,206667.0,201667.0,201667.0,204000.0,215167.0,223500.0,233833.0,234333.0,231000.0,228333.0,229000.0,232333.0,231967.0,230563.0,230563.0,230930.0,236667.0,241750.0,248417.0,248417.0,245000.0,240000.0,236667.0,240000.0,241000.0,241333.0,237550.0,239050.0,243717.0,250800.0,255300.0,256033.0,255342.0,255008.0,255942.0,256667.0,255000.0,253333.0,252500.0,256333.0,261000.0,268500.0,272233.0,275900.0,272567.0,268333.0,266667.0,267333.0,269000.0,267333.0,269500.0,272833.0,278500.0,282333.0,285100.0,284433.0,281100.0,280000.0,281070.0,282736.0,280070.0,278583.0,280250.0,283917.0,287333.0,290300.0,295800.0,297800.0,295667.0,295500.0,298833.0,301333.0,300000.0,297667.0,299757.0,305424.0,310424.0,315000.0,319333.0,325000.0,328333.0,330000.0,330000.0,330000.0,331667.0,335000.0,340000.0,348333.0
394347,9,"Atlanta, GA",Msa,GA,185000.0,187500.0,190567.0,193200.0,192333.0,185683.0,179383.0,173083.0,170000.0,166300.0,161367.0,158700.0,155933.0,158167.0,161600.0,167400.0,169100.0,165667.0,161333.0,158000.0,157667.0,151333.0,144000.0,138333.0,141983.0,149650.0,153650.0,153000.0,148333.0,144333.0,138967.0,136533.0,137367.0,139767.0,136200.0,130367.0,126333.0,128333.0,133333.0,138667.0,146000.0,147300.0,145967.0,141967.0,139667.0,135667.0,134000.0,137267.0,147233.0,158233.0,166300.0,170048.0,169048.0,165548.0,160133.0,158467.0,160467.0,159500.0,162833.0,167333.0,178193.0,186843.0,193510.0,198650.0,196767.0,190767.0,184083.0,180650.0,183440.0,183395.0,183395.0,183875.0,188937.0,197603.0,203447.0,206613.0,204280.0,198833.0,193333.0,190333.0,191333.0,190938.0,191938.0,192604.0,198717.0,207050.0,213050.0,216333.0,211797.0,206464.0,200297.0,199500.0,202833.0,203000.0,202315.0,201648.0,207982.0,214647.0,218501.0,219334.0,215688.0,210833.0,206333.0,206667.0,210667.0,210667.0,210650.0,211650.0,217058.0,222075.0,225512.0,227437.0,226270.0,222833.0,220500.0,220833.0,225167.0,225525.0,227192.0,228525.0,234833.0,241000.0,245333.0,246333.0,243667.0,242315.0,241479.0,242146.0,241798.0,241048.0,240818.0,242485.0,246736.0,253916.0,258949.0,263582.0,262633.0,260567.0,257267.0,257933.0,260000.0,258300.0,259967.0,262083.0,270867.0,270867.0,270750.0,272000.0,278000.0,282000.0,283667.0,284027.0,284027.0,282227.0,282567.0,289871.0,301671.0
